id,name,country,region,population,climate,industries,corruption,pressFreedom,costOfLiving,affordability,govProgressiveness,militarySpending,economicOutlook,fossilFuelReliance,safety,healthcareQuality,educationQuality,internetQuality,airQuality,languageAccess,visaEase,sunshine,humidity,rainfall,winterWarmth,primaryLanguage,gdpPerCapita,density,nickname,lat,lon
tokyo,Tokyo,Japan,Asia,14000000,temperate,tech;finance;creative,75,63,65,63,96,73,32,33,76,86,79,100,78,32,79,37,89,68,55,japanese,42,6158,The Big Mikan,35.69,139.69
newYork,New York,United States,North America,8300000,temperate,tech;finance;creative;media,70,65,22,77,81,32,58,43,49,88,71,100,85,100,75,37,92,52,47,english,80,10900,The Big Apple,40.71,-74.01
london,London,United Kingdom,Europe,9000000,temperate,finance;tech;creative;media,78,78,33,61,92,54,36,64,45,88,73,100,80,100,75,18,99,28,54,english,65,5600,The Big Smoke,51.51,-0.13
paris,Paris,France,Europe,2100000,temperate,creative;finance;tech;fashion,73,76,42,61,89,59,39,95,42,82,70,100,74,63,62,25,93,26,51,french,55,20600,City of Light,48.85,2.35
sydney,Sydney,Australia,Oceania,5300000,subtropical,finance;tech;mining,85,75,41,72,94,62,51,39,66,89,72,100,77,100,76,52,77,35,95,english,65,430,Harbour City,-33.87,151.21
toronto,Toronto,Canada,North America,2900000,continental,tech;finance;film,81,78,54,75,97,74,49,77,56,92,78,100,85,100,77,32,89,31,38,english,60,4334,The 6ix,43.65,-79.38
berlin,Berlin,Germany,Europe,3700000,continental,tech;creative;startup,84,83,48,76,95,62,20,59,55,87,72,100,74,88,61,16,91,24,43,german,42,4120,The Grey City,52.52,13.41
singapore,Singapore,Singapore,Asia,5700000,tropical,finance;tech;trade,88,45,31,40,48,43,74,5,78,88,92,100,76,100,78,51,99,95,100,english,88,8358,The Lion City,1.35,103.82
mexicoCity,Mexico City,Mexico,Latin America,9200000,subtropical,creative;finance;tech,29,45,70,69,58,82,46,26,34,79,43,90,56,30,67,69,65,32,68,spanish,18,6000,City of Palaces,19.43,-99.13
saoPaulo,São Paulo,Brazil,Latin America,12300000,subtropical,finance;tech;creative,40,63,77,69,73,81,62,89,30,84,38,100,67,44,74,49,91,54,94,portuguese,18,7216,Sampa,-23.55,-46.63
amsterdam,Amsterdam,Netherlands,Europe,900000,temperate,tech;finance;creative,87,88,39,79,97,62,34,54,70,85,73,100,81,91,62,19,99,33,52,dutch,60,5135,Venice of the North,52.37,4.90
barcelona,Barcelona,Spain,Europe,1600000,subtropical,tech;creative;tourism,62,77,60,69,91,71,61,75,48,84,69,100,76,63,63,46,72,21,61,spanish,35,15987,The City of Counts,41.39,2.16
bangkok,Bangkok,Thailand,Asia,10500000,tropical,tourism;tech;trade,37,56,75,6,33,78,57,17,62,82,42,100,53,17,39,63,81,54,100,thai,18,5258,City of Angels,13.75,100.52
dubai,Dubai,United Arab Emirates,Middle East,3500000,tropical,finance;trade;tourism,72,26,57,85,18,,77,32,84,84,49,100,8,46,78,72,51,3,89,arabic,38,693,City of Gold,25.20,55.27
seoul,Seoul,South Korea,Asia,9700000,continental,tech;creative;finance,65,64,55,26,83,49,44,40,75,88,79,100,49,57,80,37,85,49,37,korean,35,15850,Soul of Asia,37.57,126.98
vienna,Vienna,Austria,Europe,1900000,continental,finance;creative;tech,74,78,46,64,94,80,22,84,71,84,69,100,79,89,62,25,85,29,41,german,52,4600,City of Music,48.21,16.37
lisbon,Lisbon,Portugal,Europe,500000,subtropical,tech;creative;tourism,65,84,64,56,96,69,55,81,67,83,70,100,81,87,62,55,92,22,73,portuguese,28,6659,City of Seven Hills,38.72,-9.14
copenhagen,Copenhagen,Denmark,Europe,800000,temperate,tech;creative;finance,94,86,34,77,97,52,54,91,74,85,73,100,83,87,63,17,100,28,47,danish,60,6904,City of Spires,55.68,12.57
melbourne,Melbourne,Australia,Oceania,5000000,temperate,tech;finance;creative,85,75,43,86,94,62,51,39,56,89,72,100,86,100,76,49,80,29,89,english,62,505,Marvellous Melbourne,-37.81,144.96
buenosAires,Buenos Aires,Argentina,Latin America,3100000,subtropical,creative;finance;tech,41,56,67,71,85,88,30,42,37,80,36,99,76,75,74,54,83,44,100,spanish,12,14827,Paris of South America,-34.61,-58.38
prague,Prague,Czech Republic,Europe,1300000,continental,tech;creative;tourism,67,83,62,57,95,62,41,59,75,83,71,100,74,77,61,19,89,26,40,czech,28,2600,The Golden City,50.08,14.44
taipei,Taipei,Taiwan,Asia,2600000,subtropical,tech;creative;finance,72,77,65,23,93,,,13,83,,,100,70,,54,33,99,77,76,mandarin,32,9962,City of Azaleas,25.05,121.56
dublin,Dublin,Ireland,Europe,550000,temperate,tech;finance;creative,80,86,44,82,98,95,77,48,46,82,74,100,84,100,61,14,100,39,57,english,85,4900,The Fair City,53.33,-6.25
mumbai,Mumbai,India,Asia,20700000,tropical,finance;tech;creative,42,32,92,26,62,55,100,27,56,69,33,48,13,45,26,64,68,100,96,hindi,5,20694,City of Dreams,19.08,72.88
istanbul,Istanbul,Turkey,Middle East,15500000,subtropical,trade;finance;creative,36,29,72,79,32,62,75,43,52,77,59,100,57,46,55,39,82,25,57,turkish,18,2957,City on Two Continents,41.01,28.95
stockholm,Stockholm,Sweden,Europe,1000000,continental,tech;finance;creative,88,88,42,72,99,60,35,99,54,85,73,100,90,86,62,15,100,27,38,swedish,58,4870,Beauty on Water,59.33,18.07
zurich,Zurich,Switzerland,Europe,400000,continental,finance;tech,88,83,0,72,96,86,40,98,76,87,72,100,80,71,62,27,96,52,43,german,85,4592,Little Big City,47.37,8.54
hanoi,Hanoi,Vietnam,Asia,8100000,subtropical,tech;trade;creative,43,19,90,6,20,,100,45,66,71,73,100,29,50,24,34,95,64,79,vietnamese,5,2398,City of Lakes,21.03,105.85
cairo,Cairo,Egypt,Middle East,10100000,tropical,trade;tourism;finance,31,24,93,72,18,87,69,13,50,71,19,44,,36,25,73,37,2,71,arabic,8,19376,City of Minarets,30.04,31.24
bogota,Bogotá,Colombia,Latin America,7400000,subtropical,tech;creative;finance,42,49,80,63,69,33,46,77,33,82,40,100,69,43,59,51,86,65,87,spanish,10,4310,Athens of South America,4.71,-74.07
kualaLumpur,Kuala Lumpur,Malaysia,Asia,1800000,tropical,tech;finance;trade,58,56,80,83,53,80,83,21,41,80,49,100,43,77,76,55,100,100,99,malay,22,6891,Garden City of Lights,3.14,101.69
rome,Rome,Italy,Europe,2800000,subtropical,creative;tourism;fashion,59,68,60,66,87,68,34,49,53,82,64,100,76,54,62,49,73,31,60,italian,35,2096,The Eternal City,41.90,12.50
nairobi,Nairobi,Kenya,Africa,4700000,tropical,tech;finance;creative,32,49,86,67,49,80,88,90,41,57,52,23,74,81,33,75,66,24,90,swahili,4,4509,Silicon Savannah,-1.29,36.82
capeTown,Cape Town,South Africa,Africa,4600000,subtropical,tech;creative;tourism,44,75,76,90,81,86,35,18,26,74,14,46,70,100,45,70,89,20,89,english,8,1600,The Mother City,-33.92,18.42
helsinki,Helsinki,Finland,Europe,650000,continental,tech;creative;finance,92,87,47,75,100,54,22,96,75,86,78,100,88,84,62,11,100,28,38,finnish,52,3050,Daughter of the Baltic,60.17,24.94
budapest,Budapest,Hungary,Europe,1700000,continental,tech;creative;tourism,49,62,64,67,65,57,27,75,66,80,65,100,71,80,61,29,81,25,41,hungarian,22,3370,Pearl of the Danube,47.50,19.04
athensGreece,Athens,Greece,Europe,660000,subtropical,tourism;creative;trade,54,55,63,68,85,37,51,50,45,77,56,91,70,81,61,55,70,20,65,greek,22,17090,Cradle of Democracy,37.98,23.73
sanFrancisco,San Francisco,United States,North America,870000,temperate,tech;finance;creative,70,65,27,88,81,32,58,43,40,88,71,100,85,100,75,53,85,23,65,english,120,6912,The City by the Bay,37.77,-122.42
losAngeles,Los Angeles,United States,North America,3900000,subtropical,creative;tech;media,70,65,36,84,81,32,58,43,46,88,71,100,77,100,75,71,49,13,71,english,72,3284,City of Angels,34.05,-118.24
chicago,Chicago,United States,North America,2700000,continental,finance;tech;creative,70,65,45,97,81,32,58,43,35,88,71,100,81,100,75,36,92,39,39,english,62,4714,The Windy City,41.88,-87.63
austin,Austin,United States,North America,1000000,subtropical,tech;creative;startup,70,65,49,92,81,32,58,43,56,88,71,100,81,100,75,55,70,34,65,english,72,1235,Live Music Capital,30.27,-97.74
vancouver,Vancouver,Canada,North America,2500000,temperate,tech;film;creative,81,78,52,74,97,74,49,77,57,92,78,100,84,100,77,23,100,87,43,english,55,5493,Hollywood North,49.28,-123.12
montreal,Montreal,Canada,North America,1800000,continental,tech;creative;finance,81,78,61,85,97,74,49,77,67,92,78,100,86,,77,30,95,43,20,french,48,4916,Paris of North America,45.50,-73.57
osaka,Osaka,Japan,Asia,2700000,temperate,tech;finance;creative,75,63,76,,96,73,32,33,67,86,79,100,76,32,79,36,95,70,50,japanese,38,11836,Nation's Kitchen,34.69,135.50
kyoto,Kyoto,Japan,Asia,1500000,temperate,creative;tourism,75,63,,,96,73,32,33,,86,79,100,78,32,79,30,97,66,49,japanese,38,1801,The Cultural Capital,35.01,135.77
marrakech,Marrakech,Morocco,Africa,1000000,subtropical,tourism;creative,37,48,85,,37,30,75,24,,65,27,40,,47,33,71,35,12,67,arabic,4,5500,The Red City,31.63,-8.00
reykjavik,Reykjavik,Iceland,Europe,130000,continental,creative;tourism;tech,85,81,23,85,95,,46,100,75,90,66,100,89,,59,5,100,66,44,icelandic,72,357,Bay of Smokes,64.13,-21.93
denver,Denver,United States,North America,715000,continental,tech;finance;creative,70,65,42,92,81,32,58,43,52,88,71,100,85,100,75,56,35,18,41,english,62,1683,Mile High City,39.74,-104.98
milanItaly,Milan,Italy,Europe,1400000,temperate,finance;fashion;creative,59,68,46,57,87,68,34,49,46,82,64,100,60,54,62,35,77,39,50,italian,42,7200,Fashion Capital,45.46,9.19
washingtonDC,Washington DC,United States,North America,690000,temperate,finance;tech;media,70,65,29,94,81,32,58,43,40,88,71,100,85,100,75,41,85,46,45,english,80,4230,The District,38.91,-77.04
madrid,Madrid,Spain,Europe,3300000,subtropical,finance;creative;tourism;media,62,77,60,71,91,71,61,75,71,84,69,100,79,63,63,53,60,18,53,spanish,35,5400,City of Bear and Tree,40.42,-3.70
brussels,Brussels,Belgium,Europe,1200000,temperate,finance;tech;trade,78,80,48,86,95,74,40,72,44,86,72,100,80,86,62,20,97,31,50,french,48,7700,Capital of Europe,50.85,4.35
warsaw,Warsaw,Poland,Europe,1800000,continental,tech;finance;startup,64,74,67,74,82,17,54,32,75,82,77,100,67,83,61,19,90,25,36,polish,22,3400,Phoenix City,52.23,21.01
oslo,Oslo,Norway,Europe,700000,continental,finance;tech;creative,88,92,29,76,99,58,37,99,66,89,71,100,83,88,62,12,100,42,31,norwegian,82,1500,Tiger City,59.91,10.75
edinburgh,Edinburgh,United Kingdom,Europe,540000,temperate,finance;tech;creative;tourism,78,78,47,84,92,54,36,64,70,88,73,100,91,100,75,10,100,35,52,english,52,1800,Athens of the North,55.95,-3.19
