city_id,sunshine_hours,humidity_pct,rainfall_mm,jan_temp_c
tokyo,1915,79.2,1694,4.7
newYork,1932,80.5,1310,1.1
london,1449,84.6,708,4.1
paris,1633,81.4,661,3.0
sydney,2291,72.5,887,22.9
toronto,1799,78.7,774,-2.7
berlin,1395,79.8,602,-0.7
singapore,2263,84.6,2365,25.9
mexicoCity,2715,65.8,792,10.4
saoPaulo,2232,80.2,1350,22.3
amsterdam,1464,84.7,829,3.5
barcelona,2156,69.6,518,7.4
bangkok,2578,74.5,1361,26.2
dubai,2796,58.2,84,20.1
seoul,1922,77.0,1237,-3.3
vienna,1622,76.9,737,-1.6
lisbon,2364,80.4,540,12.9
copenhagen,1434,85.8,697,1.1
melbourne,2223,74.1,715,20.0
buenosAires,2361,75.4,1102,24.8
prague,1463,78.7,639,-2.2
taipei,1829,84.2,1916,14.3
dublin,1351,87.6,982,5.8
mumbai,2609,67.4,2508,23.2
istanbul,1975,75.3,624,5.8
stockholm,1377,85.3,664,-3.1
zurich,1674,82.6,1310,-0.7
hanoi,1844,82.1,1606,15.4
cairo,2815,50.5,58,12.1
bogota,2286,77.1,1624,19.1
kualaLumpur,2365,87.0,2518,24.7
rome,2233,70.3,774,7.0
nairobi,2868,66.3,602,20.5
capeTown,2740,79.0,489,20.0
helsinki,1267,86.3,712,-2.9
budapest,1714,74.6,613,-1.6
athensGreece,2382,68.5,500,9.2
sanFrancisco,2333,77.0,584,9.3
losAngeles,2782,56.7,332,12.0
chicago,1894,80.8,982,-2.5
austin,2371,68.7,839,9.3
vancouver,1586,85.1,2172,-0.5
montreal,1746,82.5,1084,-11.2
osaka,1902,82.5,1752,2.6
kyoto,1760,83.2,1657,2.2
marrakech,2785,49.2,292,10.2
reykjavik,1114,87.8,1639,0.0
denver,2390,49.3,438,-1.7
milanItaly,1864,72.4,986,2.7
washingtonDC,2030,76.5,1153,0.1
madrid,2318,63.0,445,3.8
brussels,1496,83.2,763,2.6
warsaw,1468,79.5,628,-4.0
oslo,1312,89.0,1048,-5.9
edinburgh,1243,88.4,887,3.4
munich,1603,83.2,1132,-1.6
porto,2165,79.1,1007,10.5
seville,2475,62.5,467,9.0
florence,1986,77.5,737,2.2
naples,2249,73.8,756,7.2
krakow,1491,80.4,785,-3.3
dubrovnik,2078,70.6,1248,9.2
tallinn,1335,85.4,686,-3.9
riga,1382,87.2,763,-4.9
vilnius,1409,86.4,752,-6.5
bucharest,1887,71.2,617,-1.6
sofia,1894,74.2,704,-2.3
belgrade,1825,71.5,675,-0.3
zagreb,1773,78.7,905,-0.8
geneva,1767,76.8,1106,-0.8
lyon,1845,78.1,843,1.9
gothenburg,1408,86.0,1033,0.5
rotterdam,1491,84.0,836,3.8
luxembourg,1553,82.4,770,0.5
bratislava,1622,74.7,635,-1.2
thessaloniki,2126,68.8,515,4.5
valletta,2481,77.1,588,14.6
hamburg,1418,84.7,752,0.5
cluj,1729,75.3,679,-3.0
nicosia,2475,62.1,339,10.6
beijing,1948,52.4,533,-5.2
shanghai,1845,78.4,1285,4.4
hongKong,2040,79.3,1398,16.0
shenzhen,2040,80.2,1471,16.0
chengdu,1552,71.6,989,5.3
bangalore,2701,67.9,843,21.1
newDelhi,2410,45.6,752,13.6
kolkata,2253,73.9,1566,17.3
hoChiMinhCity,2560,77.1,1372,26.2
jakarta,2381,81.2,2201,26.9
manila,2284,84.7,2916,23.5
tbilisi,1903,60.6,376,1.0
yerevan,2094,48.3,354,-0.3
almaty,2124,48.4,467,-0.9
auckland,2114,78.9,1015,19.8
brisbane,2535,71.2,1099,25.4
perth,2728,69.3,661,22.8
wellington,2069,82.3,854,16.7
fukuoka,1884,81.2,1898,3.8
busan,1920,77.7,1518,6.8
colombo,2765,83.2,1997,25.4
kathmandu,2367,60.4,1084,11.1
yangon,2404,68.4,1234,25.4
phnomPenh,2571,73.3,1241,27.7
ulaanbaatar,2159,67.8,277,-20.9
macau,2009,82.5,1599,17.3
hyderabad,2640,60.3,807,21.6
guangzhou,1856,78.2,1730,14.0
cebu,2458,82.7,2008,25.8
bali,2742,83.4,1591,25.5
miami,2469,75.7,1325,21.2
seattle,1684,83.2,1230,4.4
boston,1879,80.3,1208,-3.5
atlanta,2224,75.9,1292,4.7
houston,2291,76.8,1245,10.3
dallas,2320,68.7,923,6.4
portland,1808,81.4,1486,3.5
minneapolis,1902,76.4,839,-10.6
newOrleans,2336,78.8,1533,12.0
philadelphia,2004,79.0,1226,-1.0
phoenix,2881,33.1,255,11.4
calgary,1729,71.2,548,-7.2
ottawa,1772,83.4,982,-11.3
lima,2423,68.0,22,19.4
santiago,2670,39.8,274,22.1
medellin,2428,88.4,2117,16.2
quito,1974,81.5,1179,17.2
montevideo,2383,78.8,1183,23.2
guadalajara,2907,57.6,803,16.0
monterrey,2680,59.0,708,13.6
havana,2594,72.1,741,22.4
panamaCity,2438,80.7,1934,26.6
sanJoseCR,2536,81.9,1792,22.7
rioDeJaneiro,2321,80.6,1467,25.7
cartagena,2616,80.0,1369,27.3
curitiba,2153,82.8,1628,21.4
asuncion,2439,73.2,1471,28.3
laPaz,2945,74.6,646,8.8
lasVegas,2765,30.6,146,7.7
sanDiego,2420,62.6,266,12.4
telAviv,2680,66.3,358,11.4
riyadh,3058,24.3,33,13.8
abuDhabi,2900,60.2,62,19.9
doha,2597,51.1,40,17.5
muscat,2912,44.0,131,19.2
amman,2820,56.3,266,11.3
beirut,2637,64.4,453,11.2
kuwaitCity,2808,45.1,47,13.8
tehran,2557,41.6,310,3.3
manama,2588,62.2,40,17.9
lagos,2262,85.8,1544,26.2
accra,2416,84.7,1168,27.3
casablanca,2591,73.3,471,12.9
tunis,2303,70.0,562,11.3
addisAbaba,2937,66.1,1080,15.4
kigali,2451,74.0,1292,20.3
darEsSalaam,2794,76.2,1132,27.8
johannesburg,2750,55.2,642,21.6
dakar,2858,80.2,555,21.9
abidjan,2258,83.6,1424,27.3
karachi,2765,64.8,201,19.6
lahore,2430,41.1,591,12.5
dhaka,2219,74.9,2179,17.6
islamabad,2415,47.5,1004,10.9
tashkent,2272,48.8,412,0.4
ankara,2309,66.5,420,-2.1
nagoya,1840,80.0,1741,4.2
sapporo,1602,87.5,1274,-6.9
hiroshima,1875,82.5,1555,1.8
chongqing,1480,75.7,1142,6.4
xian,1891,59.8,694,-0.0
wuhan,1730,74.3,1332,4.2
nanjing,1786,75.8,1194,2.1
marseille,2189,70.2,558,5.3
nice,2118,74.0,683,10.7
turin,1832,67.5,777,1.2
gdansk,1445,83.9,712,-0.7
valencia,2294,63.4,394,8.3
sarajevo,1843,78.8,898,-1.7
ljubljana,1708,81.2,1051,-1.2
poznan,1450,78.9,599,-2.3
beloHorizonte,2473,73.9,1208,21.6
portoAlegre,2247,81.8,1445,24.5
brasilia,2732,68.5,1303,22.4
sanAntonio,2384,67.4,777,10.1
nashville,2085,77.8,1350,2.3
charlotte,2204,74.9,1146,4.4
recife,2981,77.0,1416,27.1
sanJuanPR,2571,77.5,1204,25.2
algiers,2383,66.9,642,9.2
baghdad,2646,36.6,201,9.2
kampala,2631,74.1,1394,23.5
adelaide,2531,64.8,431,22.6
incheon,1922,77.0,1237,-3.3
penang,2492,83.8,2351,25.3
bordeaux,1860,78.4,748,5.9
bilbao,1799,76.8,1000,10.0
baku,1948,76.3,161,6.0
minsk,1479,86.8,763,-7.8
tirana,2167,70.0,872,2.0
jerusalem,2820,66.3,358,11.4
frankfurt,1467,78.2,668,0.3
manchester,1357,88.6,1000,3.6
hangzhou,1742,79.0,1424,3.4
varanasi,2382,51.9,814,16.1
liverpool,1357,86.8,978,4.9
salzburg,1601,83.1,1263,-1.5
detroit,1868,78.7,847,-4.7
kyiv,1638,78.2,613,-6.2
chennai,2573,72.4,1252,24.1
sanjoseca,2622,72.2,511,8.3
antwerp,1491,83.2,763,2.6
