our_country,ti_country,rsf_country,sipri_country,henley_country,ef_country,ookla_country
Albania,Albania,Albania,Albania,Albania,Albania,Albania
Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria
Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina
Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia
Australia,Australia,Australia,Australia,Australia,Australia,Australia
Austria,Austria,Austria,Austria,Austria,Austria,Austria
Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan
Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain
Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus
Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia
Bosnia,Bosnia,Bosnia,Bosnia,Bosnia,Bosnia,Bosnia
Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria
Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia
Canada,Canada,Canada,Canada,Canada,Canada,Canada
Chile,Chile,Chile,Chile,Chile,Chile,Chile
China,China,China,China,China,China,China
Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia
Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica
Croatia,Croatia,Croatia,Croatia,Croatia,Croatia,Croatia
Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba
Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus
Czech Republic,Czech Republic,Czech Republic,Czech Republic,Czech Republic,Czech Republic,Czech Republic
Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark
Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador
Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt
England,England,England,England,England,England,England
Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia
Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia
Finland,Finland,Finland,Finland,Finland,Finland,Finland
France,France,France,France,France,France,France
Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia
Germany,Germany,Germany,Germany,Germany,Germany,Germany
Ghana,Ghana,Ghana,Ghana,Ghana,Ghana,Ghana
Greece,Greece,Greece,Greece,Greece,Greece,Greece
Hungary,Hungary,Hungary,Hungary,Hungary,Hungary,Hungary
