Country,EPI Score
United Arab Emirates,46
Albania,61
Armenia,55
Angola,21
Argentina,75
Austria,89
Azerbaijan,35
Bosnia,80
Bangladesh,52
Belgium,86
Bulgaria,81
Bolivia,57
Brazil,44
Belarus,61
DR Congo,17
Switzerland,71
Ivory Coast,14
Chile,56
Cameroon,32
China,38
Colombia,43
Costa Rica,55
Cuba,55
Cyprus,62
Czech Republic,77
Germany,88
Denmark,87
Algeria,39
Ecuador,39
Estonia,70
Egypt,36
Spain,63
Ethiopia,50
Finland,84
France,63
Georgia,64
Ghana,63
Greece,81
Croatia,89
Hungary,80
Indonesia,40
Israel,58
India,45
Iraq,19
Iran,47
Italy,54
Jordan,25
Japan,32
Kenya,81
Cambodia,13
South Korea,57
Kuwait,35
Kazakhstan,22
Lebanon,42
Sri Lanka,45
Lithuania,64
Latvia,83
Morocco,47
North Macedonia,82
Myanmar,31
Mongolia,32
Mexico,30
Malaysia,77
Nigeria,73
Netherlands,91
Norway,88
Nepal,55
Oman,19
Panama,47
Peru,56
Philippines,73
Pakistan,48
Poland,83
Portugal,87
Paraguay,60
Qatar,40
Romania,85
Serbia,76
Russia,57
Rwanda,22
Saudi Arabia,18
Sweden,86
Slovakia,85
Senegal,31
Thailand,17
Tunisia,49
Turkey,46
Tanzania,43
Ukraine,59
Uganda,56
Uruguay,64
Uzbekistan,26
Vietnam,50
South Africa,84
