Country,Score
Albania,69
Algeria,31
Angola,28
Argentina,85
Armenia,54
Australia,94
Austria,94
Azerbaijan,6
Bahrain,12
Bangladesh,44
Belarus,7
Belgium,95
Bolivia,69
Bosnia,54
Brazil,73
Bulgaria,74
Cambodia,22
Cameroon,15
Canada,97
Chile,95
China,9
Colombia,69
Costa Rica,91
Croatia,82
Cuba,9
Cyprus,90
Czech Republic,95
Democratic Republic of Congo,18
Denmark,97
Ecuador,64
Egypt,18
Estonia,96
Ethiopia,18
Finland,100
France,89
Georgia,51
Germany,95
Ghana,80
Greece,85
Hungary,65
Iceland,95
India,62
Indonesia,56
Iran,10
Iraq,31
Ireland,98
Israel,73
Italy,87
Japan,96
Jordan,34
Kazakhstan,23
Kenya,49
Kuwait,30
Latvia,89
Lebanon,41
Lithuania,90
Luxembourg,97
Malaysia,53
Malta,88
Mexico,58
Mongolia,84
Morocco,37
Myanmar,4
Nepal,59
Netherlands,97
New Zealand,99
Nigeria,44
Norway,99
Oman,24
Pakistan,32
Panama,82
Paraguay,63
Peru,66
Philippines,58
Poland,82
Portugal,96
Qatar,25
Romania,83
Rwanda,21
Saudi Arabia,9
Senegal,70
Serbia,53
Singapore,48
Slovakia,88
Slovenia,97
South Africa,81
South Korea,83
Spain,91
Sri Lanka,63
Sweden,99
Switzerland,96
Taiwan,93
Tanzania,28
Thailand,33
Tunisia,42
Turkey,32
Uganda,33
Ukraine,51
United Arab Emirates,18
United Kingdom,92
United States,81
Uruguay,97
Uzbekistan,12
Vietnam,20
