Country,Visa-Free Destinations
Albania,103
Algeria,48
Argentina,142
Armenia,63
Australia,146
Austria,119
Azerbaijan,65
Bahrain,75
Bangladesh,32
Belarus,75
Belgium,119
Bolivia,68
Bosnia,105
Brazil,143
Bulgaria,115
Cambodia,49
Canada,148
Chile,139
China,78
Colombia,114
DR Congo,41
Costa Rica,123
Ivory Coast,42
Croatia,116
Cuba,56
Cyprus,114
Czech Republic,117
Denmark,121
Ecuador,81
Egypt,48
Estonia,115
Ethiopia,42
Finland,120
France,120
Georgia,112
Germany,118
Ghana,51
Greece,118
Guinea-Bissau,39
Hungary,117
Iceland,114
India,51
Indonesia,75
Iran,40
Iraq,29
Ireland,118
Israel,136
Italy,120
Japan,153
Jordan,46
Kazakhstan,71
Kenya,64
Kuwait,85
Latvia,115
Lebanon,41
Lithuania,114
Luxembourg,119
Malaysia,146
Malta,115
Mexico,129
Mongolia,63
Morocco,64
Myanmar,39
Nepal,35
Netherlands,119
New Zealand,150
Nigeria,32
North Korea,36
North Macedonia,112
Norway,120
Oman,72
Pakistan,29
Panama,119
Paraguay,123
Peru,125
Philippines,61
Poland,117
Portugal,119
Qatar,93
Romania,115
Russia,105
Rwanda,57
Saudi Arabia,75
Senegal,42
Serbia,119
Singapore,150
Slovakia,116
Slovenia,115
South Africa,87
South Korea,155
Spain,121
Sri Lanka,39
Sweden,120
Switzerland,120
Taiwan,105
Tanzania,61
Thailand,75
Tunisia,61
Turkey,107
Uganda,58
Ukraine,127
United Arab Emirates,151
United Kingdom,145
United States,144
Uruguay,127
Uzbekistan,57
Vietnam,47
