Country,Download Speed (Mbps)
Singapore,624.19
France,534.89
Switzerland,486.23
Chile,469.69
Iceland,463.90
United Arab Emirates,416.16
United States,390.17
Japan,388.38
Slovenia,386.47
Canada,379.96
Denmark,373.37
Israel,372.71
Romania,367.69
Spain,363.81
Thailand,358.83
Hungary,358.13
Portugal,357.63
Peru,348.84
Netherlands,343.16
Luxembourg,340.45
China,339.45
Qatar,333.99
Vietnam,333.46
Ireland,324.02
South Korea,321.96
Lithuania,319.97
Poland,314.95
Colombia,306.64
Malta,297.68
Brazil,295.79
New Zealand,295.68
Sweden,293.27
Taiwan,292.49
Ecuador,291.82
United Kingdom,289.06
Italy,287.85
Kuwait,285.81
Latvia,281.66
Panama,274.06
Finland,268.70
Belgium,261.27
Cyprus,259.89
Jordan,255.80
Uruguay,252.39
Norway,252.30
Australia,251.20
Croatia,243.35
Malaysia,239.65
Slovakia,238.39
Uzbekistan,228.99
Costa Rica,215.53
Turkey,214.49
Czech Republic,206.99
Germany,206.32
Ukraine,201.93
Bahrain,201.72
Austria,199.98
Argentina,197.26
Saudi Arabia,195.94
Serbia,195.04
Oman,193.09
Bulgaria,191.98
Philippines,187.25
Paraguay,186.67
Azerbaijan,182.26
Albania,181.36
Greece,181.26
Mexico,179.22
Estonia,168.28
Kazakhstan,153.94
Algeria,151.80
Armenia,151.39
Mongolia,138.98
Nepal,118.27
North Macedonia,116.69
Bolivia,107.17
Bangladesh,104.29
Ivory Coast,98.59
India,96.44
South Africa,91.66
Egypt,88.89
Bosnia,88.08
Senegal,87.74
Ghana,83.04
Cambodia,81.17
Sri Lanka,80.99
Morocco,80.70
Indonesia,74.88
DR Congo,68.65
Cape Verde,66.31
Rwanda,63.16
Myanmar,59.18
Nigeria,54.45
Uganda,54.05
Iraq,53.66
Georgia,53.24
Tanzania,51.27
Angola,47.10
Ethiopia,45.37
Kenya,45.35
Lebanon,43.43
Cameroon,36.75
Pakistan,30.93
Tunisia,29.29
