Country,Score
Albania,100
Algeria,1
Angola,74
Argentina,42
Armenia,66
Australia,39
Austria,84
Azerbaijan,12
Bahrain,0
Bangladesh,2
Belarus,41
Belgium,72
Bolivia,36
Bosnia,44
Brazil,89
Bulgaria,72
Cambodia,41
Cameroon,73
Canada,77
Chile,66
China,42
Colombia,77
Costa Rica,100
Ivory Coast,29
Croatia,76
Cuba,4
Cyprus,28
Czech Republic,59
Democratic Republic of Congo,100
Denmark,91
Ecuador,79
Egypt,13
Estonia,60
Ethiopia,100
Finland,96
France,95
Georgia,80
Germany,59
Ghana,36
Greece,50
Hungary,75
Iceland,100
India,27
Indonesia,18
Iran,6
Iraq,2
Ireland,48
Israel,17
Italy,49
Japan,33
Jordan,24
Kazakhstan,15
Kenya,90
Kuwait,2
Latvia,73
Lebanon,44
Lithuania,78
Luxembourg,92
Malaysia,21
Malta,16
Mexico,26
Mongolia,8
Morocco,24
Myanmar,48
Nepal,100
Netherlands,54
New Zealand,89
Nigeria,31
Norway,99
Oman,5
Pakistan,55
Panama,68
Paraguay,100
Peru,64
Philippines,23
Poland,32
Portugal,81
Qatar,4
Romania,68
Rwanda,50
Saudi Arabia,2
Senegal,20
Serbia,28
Singapore,5
Slovakia,85
Slovenia,79
South Africa,18
South Korea,40
Spain,75
Sri Lanka,62
Sweden,99
Switzerland,98
Taiwan,13
Tanzania,33
Thailand,17
Tunisia,4
Turkey,43
Uganda,97
Ukraine,72
United Arab Emirates,32
United Kingdom,64
United States,43
Uruguay,98
Uzbekistan,19
Vietnam,45
