Country,Score
Finland,87.18
Estonia,89.46
Netherlands,88.64
Sweden,88.13
Lithuania,82.27
Denmark,86.93
Ireland,86.92
Portugal,84.26
Switzerland,83.98
Czech Republic,83.96
Norway,92.31
Luxembourg,83.04
Germany,83.85
Latvia,81.82
New Zealand,81.37
Iceland,81.36
Belgium,80.12
United Kingdom,78.89
Canada,78.75
Austria,78.12
Spain,77.35
Taiwan,77.04
France,76.62
South Africa,75.71
Australia,75.15
Cape Verde,74.98
Poland,74.79
Slovenia,74.06
Armenia,73.96
Costa Rica,73.09
Slovakia,71.93
North Macedonia,70.44
Italy,68.01
Ghana,67.13
Panama,66.75
Romania,66.42
United States,65.49
Uruguay,65.18
Croatia,64.2
Qatar,58.25
Ukraine,63.93
Brazil,63.8
Ivory Coast,63.69
Japan,63.14
Malta,62.96
Hungary,62.82
Chile,62.25
Bulgaria,60.78
Senegal,59.43
Cyprus,59.04
Oman,42.29
Albania,58.18
Paraguay,56.84
Bosnia,56.33
Argentina,56.14
Malaysia,56.09
Greece,55.37
Nepal,55.2
Bolivia,54.09
Ecuador,53.76
Kuwait,44.06
Eswatini,52.86
Angola,52.67
Mongolia,52.57
Guinea-Bissau,51.36
Israel,51.05
Georgia,50.53
Colombia,49.8
Philippines,49.57
Kenya,49.41
Morocco,48.04
Nigeria,46.81
South Korea,64.06
Mexico,45.55
Algeria,44.64
Indonesia,44.13
Serbia,53.55
Tunisia,43.48
Peru,42.88
Cameroon,42.75
Lebanon,42.62
DR Congo,42.31
Belarus,25.73
Sri Lanka,39.93
Tanzania,53.68
Uganda,37.61
Ethiopia,36.92
Rwanda,35.84
Jordan,35.25
Uzbekistan,35.24
Bangladesh,33.71
India,32.96
Thailand,56.72
Iraq,30.69
Bahrain,30.24
Pakistan,29.62
Turkey,29.4
Cambodia,28.18
Saudi Arabia,27.94
United Arab Emirates,26.91
Cuba,26.03
Singapore,45.78
Azerbaijan,25.47
Myanmar,25.32
Egypt,24.74
Russia,24.57
Kazakhstan,39.34
Vietnam,19.74
Iran,16.22
China,14.8
North Korea,12.64
