Country or Territory,CPI score
Albania,39
Algeria,36
Angola,35
Argentina,41
Armenia,51
Australia,85
Austria,74
Azerbaijan,32
Bahamas,73
Bahrain,53
Bangladesh,26
Belarus,36
Belgium,78
Bolivia,28
Bosnia,37
Brazil,40
Brunei,72
Bulgaria,43
Cape Verde,67
Cambodia,23
Cameroon,23
Canada,81
Chile,70
China,50
Colombia,42
DR Congo,17
Costa Rica,62
Ivory Coast,42
Croatia,51
Cuba,43
Cyprus,59
Czech Republic,67
Denmark,94
Ecuador,32
Egypt,31
Estonia,82
Eswatini,32
Ethiopia,39
Finland,92
France,73
Gambia,41
Georgia,56
Germany,84
Ghana,44
Greece,54
Guinea-Bissau,21
Hong Kong,80
Hungary,49
Iceland,85
India,42
Indonesia,37
Iran,25
Iraq,23
Ireland,80
Israel,65
Italy,59
Japan,75
Jordan,53
Kazakhstan,46
Kenya,32
South Korea,65
Kuwait,52
Kyrgyzstan,25
Laos,28
Latvia,65
Lebanon,21
Lithuania,68
Luxembourg,89
Macao,59
Malaysia,58
Malta,53
Mexico,29
Micronesia,62
Mongolia,38
Morocco,37
Myanmar,22
Nepal,35
Netherlands,87
New Zealand,87
Nigeria,25
North Macedonia,41
Norway,88
Oman,58
Pakistan,26
Panama,37
Paraguay,27
Peru,33
Philippines,36
Poland,64
Portugal,65
Qatar,63
Romania,48
Rwanda,61
Saudi Arabia,63
Senegal,50
Serbia,37
Singapore,88
Slovakia,50
Slovenia,62
South Africa,44
Spain,62
Sri Lanka,40
Sweden,88
Switzerland,88
Syria,13
Taiwan,72
Tanzania,42
Thailand,37
Tunisia,43
Turkey,36
Uganda,25
Ukraine,34
United Arab Emirates,72
United Kingdom,78
United States,70
Uruguay,79
Uzbekistan,33
Venezuela,16
Vietnam,43
Yemen,15
