Country,Score
Albania,74
Algeria,73
Angola,64
Argentina,30
Armenia,100
Australia,51
Austria,22
Azerbaijan,54
Bahrain,68
Bangladesh,81
Belarus,66
Belgium,40
Bolivia,24
Bosnia,56
Brazil,62
Bulgaria,59
Cambodia,93
Cameroon,67
Canada,49
Chile,50
China,89
Colombia,46
Democratic Republic of Congo,100
Costa Rica,81
Ivory Coast,100
Croatia,71
Cuba,6
Cyprus,72
Czech Republic,41
Denmark,54
Ecuador,40
Egypt,69
Estonia,16
Ethiopia,100
Finland,22
France,39
Georgia,100
Germany,20
Ghana,87
Greece,51
Hungary,27
Iceland,46
India,100
Indonesia,88
Iran,51
Iraq,12
Ireland,77
Israel,50
Italy,34
Japan,32
Jordan,60
Kazakhstan,94
Kenya,88
South Korea,44
Kuwait,23
Latvia,30
Lebanon,0
Lithuania,53
Luxembourg,30
Malaysia,83
Malta,100
Mexico,46
Mongolia,100
Morocco,75
Myanmar,17
Nepal,67
Netherlands,34
New Zealand,31
Nigeria,73
Norway,37
Oman,48
Pakistan,52
Panama,84
Paraguay,94
Peru,52
Philippines,90
Poland,54
Portugal,55
Qatar,55
Romania,41
Rwanda,100
Saudi Arabia,57
Senegal,98
Serbia,66
Singapore,74
Slovakia,45
Slovenia,47
South Africa,35
Spain,61
Sri Lanka,58
Sweden,35
Switzerland,40
Tanzania,94
Thailand,57
Tunisia,43
Turkey,75
Uganda,99
Ukraine,69
United Arab Emirates,77
United Kingdom,36
United States,58
Uruguay,49
Uzbekistan,100
Vietnam,100
