Country,Score
Albania,45
Algeria,25
Angola,9
Argentina,36
Armenia,48
Australia,72
Austria,69
Azerbaijan,39
Bahrain,51
Bangladesh,23
Belarus,63
Belgium,72
Bosnia,39
Brazil,38
Bulgaria,47
Cambodia,51
Cameroon,26
Canada,78
Chile,51
China,47
Colombia,40
Democratic Republic of Congo,3
Costa Rica,43
Ivory Coast,24
Croatia,63
Cyprus,67
Czech Republic,71
Denmark,73
Ecuador,40
Egypt,19
Estonia,81
Ethiopia,16
Finland,78
France,70
Georgia,33
Germany,72
Ghana,2
Greece,56
Hungary,65
Iceland,66
India,33
Indonesia,32
Iran,44
Iraq,21
Ireland,74
Israel,60
Italy,64
Japan,79
Jordan,43
Kazakhstan,39
Kenya,52
South Korea,79
Kuwait,28
Latvia,68
Lebanon,30
Lithuania,65
Luxembourg,64
Malaysia,49
Malta,58
Mexico,43
Mongolia,45
Morocco,27
Myanmar,42
Nepal,23
Netherlands,73
New Zealand,73
Nigeria,3
Norway,71
Oman,41
Pakistan,13
Panama,26
Paraguay,29
Peru,38
Philippines,21
Poland,77
Portugal,70
Qatar,42
Romania,47
Rwanda,19
Saudi Arabia,33
Senegal,37
Serbia,52
Singapore,92
Slovakia,62
Slovenia,74
South Africa,14
Spain,69
Sri Lanka,33
Sweden,73
Switzerland,72
Tanzania,29
Thailand,42
Tunisia,28
Turkey,59
Uganda,32
Ukraine,59
United Arab Emirates,49
United Kingdom,73
United States,71
Uruguay,46
Uzbekistan,58
Vietnam,73
