city_id,City,Country,PM2.5,Year
tokyo,Tokyo,Japan,10.8,2019
newYork,New York Newark Jersey City NY NJ PA,United States of America,7.7,2021
london,Westminster,United Kingdom of Great Britain and Northern Ireland,10.2,2020
paris,Paris,France,12.9,2021
sydney,Sydney,Australia,11.3,2019
toronto,Toronto,Canada,7.3,2020
berlin,Berlin,Germany,13.1,2021
singapore,Singapore,Singapore,12.0,2021
mexicoCity,Mexico,Mexico,22.0,2018
saoPaulo,Sao Paulo,Brazil,16.7,2019
amsterdam,Greater Amsterdam,Netherlands (Kingdom of the),9.6,2020
barcelona,Barcelona,Spain,12.2,2021
bangkok,Bangkok,Thailand,23.4,2021
dubai,Dubai,United Arab Emirates,45.8,2021
seoul,Seoul,Republic of Korea,25.4,2019
vienna,Wien,Austria,10.6,2021
lisbon,Lisboa,Portugal,9.4,2020
copenhagen,Kobenhavn,Denmark,8.3,2020
melbourne,Melbourne,Australia,7.1,2019
buenosAires,Dock Sud,Argentina,11.8,2021
prague,Praha,Czechia,12.9,2021
taipei,Taipei,China,15.0,2018
dublin,Dublin,Ireland,7.9,2021
mumbai,Mumbai,India,43.4,2019
istanbul,Istanbul,Türkiye,21.4,2020
stockholm,Stockholm,Sweden,5.2,2021
zurich,Zurich,Switzerland,10.1,2021
hanoi,Hanoi,Viet Nam,35.7,2020
bogota,Bogota,Colombia,15.6,2021
kualaLumpur,Kuala Lumpur,Malaysia,28.3,2019
rome,Roma,Italy,12.0,2021
nairobi,Nairobi,Kenya,13.1,2021
capeTown,Cape Town,South Africa,14.9,2021
helsinki,Helsinki Helsingfors,Finland,6.0,2021
budapest,Budapest,Hungary,14.5,2020
athensGreece,Athina,Greece,14.8,2022
sanFrancisco,San Francisco Oakland Hayward CA,United States of America,7.4,2021
losAngeles,Los Angeles Long Beach Anaheim CA,United States of America,11.5,2021
chicago,Chicago Naperville Elgin IL IN WI,United States of America,9.5,2021
austin,Austin Round Rock TX,United States of America,9.4,2021
vancouver,Vancouver,Canada,8.0,2020
montreal,Montreal,Canada,7.0,2020
osaka,Osaka,Japan,12.2,2019
kyoto,Kyoto,Japan,10.8,2019
reykjavik,Reykjavik,Iceland,5.3,2020
denver,Denver Aurora Lakewood CO,United States of America,7.7,2021
milanItaly,Milano,Italy,20.1,2021
washingtonDC,Washington Arlington Alexandria DC VA MD WV,United States of America,7.5,2021
madrid,Madrid,Spain,10.5,2021
brussels,Brussels,Belgium,9.8,2020
warsaw,Warszawa,Poland,16.3,2020
oslo,Oslo,Norway,8.5,2021
edinburgh,Edinburgh,United Kingdom of Great Britain and Northern Ireland,4.4,2020
munich,Munchen,Germany,8.8,2021
porto,Pacos De Ferreira,Portugal,6.1,2020
seville,Sevilla,Spain,10.8,2021
florence,Firenze,Italy,12.1,2021
naples,Napoli,Italy,15.3,2021
krakow,Krakow,Poland,21.8,2020
dubrovnik,Dubrovnik,Croatia,9.5,2018
tallinn,Tallinn,Estonia,3.9,2022
riga,Riga,Latvia,17.8,2022
vilnius,Vilnius,Lithuania,5.3,2022
bucharest,Bucuresti,Romania,16.2,2022
sofia,Sofia,Bulgaria,5.8,2022
belgrade,Stari Grad,Serbia,23.0,2021
zagreb,Zagreb,Croatia,16.1,2020
geneva,Geneve,Switzerland,10.5,2021
lyon,Lyon,France,11.4,2021
gothenburg,Goteborg,Sweden,6.0,2020
rotterdam,Greater Rotterdam,Netherlands (Kingdom of the),9.9,2020
luxembourg,Luxembourg,Luxembourg,8.7,2020
bratislava,Bratislava,Slovakia,13.3,2021
thessaloniki,Thessaloniki,Greece,24.2,2022
valletta,Msida,Malta,11.0,2020
hamburg,Hamburg,Germany,10.4,2021
cluj,Cluj Napoca,Romania,12.3,2021
nicosia,Lefkosia,Cyprus,13.7,2021
beijing,Beijing,China,38.0,2020
shanghai,Shanghai,China,32.0,2020
hongKong,Kowloon,China,21.0,2019
shenzhen,Shenzhen,China,19.0,2020
chengdu,Chengdu,China,41.0,2020
bangalore,Devanagere,India,11.0,2020
newDelhi,Delhi,India,114.5,2020
kolkata,Kolkata,India,52.2,2020
hoChiMinhCity,Ho Chi Minh,Viet Nam,23.5,2020
jakarta,DKI Jakarta,Indonesia,33.8,2021
manila,Manila,Philippines,29.0,2016
tbilisi,Tbilisi,Georgia,20.0,2017
auckland,Auckland,New Zealand,5.5,2021
brisbane,Brisbane,Australia,7.5,2019
perth,Perth,Australia,7.7,2016
wellington,Wellington,New Zealand,8.2,2020
fukuoka,Fukuoka,Japan,12.7,2019
busan,Busan,Republic of Korea,21.0,2019
colombo,Colombo,Sri Lanka,23.6,2019
kathmandu,Kathmandu,Nepal,37.0,2020
yangon,Yangon,Myanmar,28.0,2021
phnomPenh,Phnom Penh,Cambodia,19.0,2021
ulaanbaatar,Ulaanbaatar,Mongolia,60.0,2019
macau,Zhuhai,China,19.0,2020
hyderabad,Hyderabad,India,42.1,2019
guangzhou,Guangzhou,China,23.0,2020
bali,Bali,Indonesia,11.9,2021
miami,Miami Fort Lauderdale West Palm Beach FL,United States of America,6.8,2021
seattle,Seattle Tacoma Bellevue WA,United States of America,6.1,2021
boston,Boston Cambridge Newton MA NH,United States of America,6.4,2021
atlanta,Atlanta Sandy Springs Roswell GA,United States of America,9.2,2021
houston,Houston The Woodlands Sugar Land TX,United States of America,9.7,2021
dallas,Dallas Fort Worth Arlington TX,United States of America,9.0,2021
portland,Portland Vancouver Hillsboro OR WA,United States of America,6.1,2021
minneapolis,Minneapolis St Paul Bloomington MN WI,United States of America,7.9,2021
newOrleans,New Orleans Metairie LA,United States of America,7.3,2021
philadelphia,Philadelphia Camden Wilmington PA NJ DE MD,United States of America,9.3,2021
phoenix,Phoenix Mesa Scottsdale AZ,United States of America,8.0,2021
calgary,Calgary,Canada,6.7,2020
ottawa,Ottawa,Canada,6.0,2020
lima,Lima,Peru,30.2,2019
santiago,Santiago,Chile,25.4,2019
medellin,Medellin,Colombia,21.4,2019
quito,Quito,Ecuador,18.3,2013
montevideo,Montevideo,Uruguay,12.0,2018
guadalajara,Guadalajara,Mexico,25.0,2018
monterrey,Monterrey,Mexico,23.0,2018
havana,La Habana,Cuba,34.8,2015
panamaCity,Panama,Panama,14.0,2013
sanJoseCR,San Jose,Costa Rica,29.0,2020
rioDeJaneiro,Niteroi,Brazil,9.0,2015
cartagena,Cartagena,Colombia,24.0,2018
asuncion,Asuncion,Paraguay,18.4,2010
lasVegas,Las Vegas Henderson Paradise NV,United States of America,8.0,2021
sanDiego,San Diego Carlsbad CA,United States of America,9.5,2021
telAviv,Tel Aviv,Israel,19.0,2021
riyadh,Royadh Region,Saudi Arabia,41.6,2022
abuDhabi,Abu Dhabi,United Arab Emirates,44.4,2019
doha,Doha,Qatar,38.0,2021
amman,Amman,Jordan,28.8,2021
beirut,Beirut,Lebanon,19.0,2016
kuwaitCity,Capital Governorate,Kuwait,37.5,2021
tehran,Tehran,Iran (Islamic Republic of),28.2,2016
manama,Manama,Bahrain,48.7,2019
lagos,Lagos,Nigeria,27.4,2010
addisAbaba,Addis Ababa,Ethiopia,20.5,2019
johannesburg,Johannesburg,South Africa,35.5,2021
dakar,Dakar,Senegal,42.0,2018
karachi,Karachi,Pakistan,44.3,2019
lahore,Lahore,Pakistan,123.9,2019
dhaka,Dhaka,Bangladesh,86.5,2019
islamabad,Islamabad,Pakistan,32.3,2020
tashkent,Tashkent,Uzbekistan,42.0,2019
ankara,Ankara,Türkiye,19.7,2020
nagoya,Nagoya,Japan,10.4,2019
sapporo,Sapporo,Japan,6.8,2019
hiroshima,Hiroshima,Japan,11.0,2010
chongqing,Chongqing,China,33.0,2020
xian,Xi An,China,51.0,2020
wuhan,Wuhan,China,37.0,2020
nanjing,Xuanwu,China,40.2,2019
marseille,Marignane,France,12.4,2021
nice,Nice,France,10.0,2021
turin,Torino,Italy,20.0,2021
gdansk,Gdansk,Poland,12.5,2020
valencia,Valencia,Spain,10.6,2021
sarajevo,Ilidza,Bosnia and Herzegovina,29.1,2021
ljubljana,Ljubljana,Slovenia,15.7,2020
poznan,Poznan,Poland,16.1,2020
beloHorizonte,Ibirite,Brazil,12.3,2019
sanAntonio,San Antonio New Braunfels TX,United States of America,8.7,2021
charlotte,Charlotte Concord Gastonia NC SC,United States of America,8.1,2021
sanJuanPR,San Juan,Puerto Rico,12.6,2018
algiers,Algiers,Algeria,21.5,2019
baghdad,Baghdad,Iraq,48.5,2021
kampala,Kampala,Uganda,60.2,2019
adelaide,Adelaide,Australia,6.1,2019
incheon,Bucheon,Republic of Korea,38.6,2019
penang,Pulau Pinang,Malaysia,21.2,2019
bordeaux,Bordeaux,France,10.3,2021
bilbao,Sondika,Spain,9.3,2021
minsk,Minsk,Belarus,13.0,2020
tirana,Durres,Albania,23.2,2020
jerusalem,Allon Shevut,"occupied Palestinian territory, including east Jerusalem",14.3,2021
frankfurt,Frankfurt Am Main,Germany,9.7,2021
manchester,Manchester,United Kingdom of Great Britain and Northern Ireland,8.2,2020
hangzhou,Hangzhou,China,30.0,2020
varanasi,Varanasi,India,106.0,2017
liverpool,Wirral,United Kingdom of Great Britain and Northern Ireland,7.1,2020
salzburg,Salzburg,Austria,8.6,2021
detroit,Detroit Warren Dearborn MI,United States of America,9.6,2021
kyiv,Kiev,Ukraine,23.4,2019
chennai,Chennai,India,24.4,2020
sanjoseca,San Jose Sunnyvale Santa Clara CA,United States of America,6.7,2021
antwerp,Antwerpen,Belgium,11.2,2020
oakland,San Francisco Oakland Hayward CA,United States of America,7.4,2021
baltimore,Baltimore Columbia Towson MD,United States of America,8.1,2021
columbus,Columbus OH,United States of America,9.0,2021
honolulu,Urban Honolulu HI,United States of America,3.1,2021
memphis,Memphis TN MS AR,United States of America,8.1,2021
milwaukee,Milwaukee Waukesha West Allis WI,United States of America,9.3,2021
kansasCity,Kansas City MO KS,United States of America,8.3,2021
indianapolis,Indianapolis Carmel Anderson IN,United States of America,10.8,2021
raleigh,Raleigh NC,United States of America,8.6,2021
jacksonville,Jacksonville FL,United States of America,7.3,2021
saltLakeCity,Salt Lake City UT,United States of America,8.7,2021
venice,Venezia,Italy,21.1,2021
toulouse,Toulouse,France,10.2,2021
wroclaw,Wroclaw,Poland,16.4,2020
birmingham,Birmingham,United Kingdom of Great Britain and Northern Ireland,7.8,2020
palermo,Palermo,Italy,13.2,2021
malaga,Malaga,Spain,8.0,2021
chiangMai,Chiang Mai,Thailand,26.5,2021
jaipur,Jaipur,India,104.6,2016
pune,Pune,India,43.3,2017
ahmedabad,Ahmedabad,India,27.6,2020
kochi,Kochi,India,31.0,2020
udaipur,Udaipur,India,83.9,2017
suzhou,Suzhou Jiangsu,China,31.0,2020
cali,Cali,Colombia,23.0,2018
cologne,Koln,Germany,10.4,2021
