Country,Score
Lebanon,67
Jordan,74
Norway,89
Greece,77
Paraguay,79
Portugal,83
Cambodia,62
Finland,86
Romania,77
Iran,81
Myanmar,52
Philippines,69
Spain,84
Peru,68
Cyprus,76
Canada,92
South Africa,74
Denmark,85
Sri Lanka,72
Brazil,84
Ukraine,80
Italy,82
Rwanda,59
Saudi Arabia,83
Bulgaria,73
Panama,82
China,85
Singapore,88
Slovenia,84
India,69
Thailand,82
Senegal,48
Uganda,54
Uruguay,85
United Kingdom,88
Pakistan,56
New Zealand,89
Albania,71
Indonesia,67
Belarus,80
Morocco,65
Luxembourg,83
Switzerland,87
Costa Rica,84
Germany,87
Czech Republic,83
Austria,84
Croatia,76
Japan,86
Poland,82
France,82
Colombia,82
United Arab Emirates,84
Cameroon,48
Latvia,77
Chile,84
Bangladesh,54
Nigeria,47
Kazakhstan,83
Bahrain,78
Mexico,79
Lithuania,78
Qatar,84
Democratic Republic of Congo,41
Belgium,86
Bosnia,64
Vietnam,71
Australia,89
Tanzania,49
Mongolia,70
Slovakia,78
United States,88
Argentina,80
Estonia,79
Georgia,71
Egypt,71
Ireland,82
Turkey,77
Angola,44
Hungary,80
Kenya,57
Armenia,69
Ecuador,78
Tunisia,76
Nepal,58
Malta,82
Cuba,86
Algeria,70
Ethiopia,33
Ghana,56
Ivory Coast,46
Uzbekistan,79
Sweden,85
Malaysia,80
Oman,73
Iceland,90
Israel,85
Iraq,64
Kuwait,84
Serbia,73
Azerbaijan,67
Netherlands,85
Bolivia,67
South Korea,88
